时间,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-04-01 09:31,6.25,6.50,6.52,6.25,62023,39501082.00,4.45,7.08,0.43,1.32
2022-04-01 09:32,6.55,6.43,6.56,6.36,23448,15156351.00,3.08,-1.08,-0.07,0.50
2022-04-01 09:33,6.43,6.38,6.45,6.36,21741,13927575.00,1.40,-0.78,-0.05,0.46
2022-04-01 09:34,6.39,6.30,6.39,6.26,17409,10997173.00,2.04,-1.25,-0.08,0.37
2022-04-01 09:35,6.30,6.34,6.38,6.30,14450,9166333.00,1.27,0.63,0.04,0.31
2022-04-01 09:36,6.32,6.25,6.32,6.24,15149,9517309.00,1.26,-1.42,-0.09,0.32
2022-04-01 09:37,6.25,6.28,6.31,6.25,13368,8408281.00,0.96,0.48,0.03,0.28
2022-04-01 09:38,6.26,6.30,6.31,6.25,9836,6186257.00,0.96,0.32,0.02,0.21
2022-04-01 09:39,6.31,6.29,6.35,6.28,9154,5787677.00,1.11,-0.16,-0.01,0.19
2022-04-01 09:40,6.30,6.28,6.30,6.27,5940,3734764.00,0.48,-0.16,-0.01,0.13
2022-04-01 09:41,6.28,6.24,6.28,6.21,10991,6854131.00,1.11,-0.64,-0.04,0.23
2022-04-01 09:42,6.23,6.20,6.24,6.18,13311,8259386.00,0.96,-0.64,-0.04,0.28
2022-04-01 09:43,6.20,6.18,6.20,6.16,6823,4210592.00,0.65,-0.32,-0.02,0.14
2022-04-01 09:44,6.19,6.20,6.22,6.19,7727,4794641.00,0.49,0.32,0.02,0.16
2022-04-01 09:45,6.19,6.18,6.22,6.18,5958,3693091.00,0.65,-0.32,-0.02,0.13
2022-04-01 09:46,6.18,6.18,6.19,6.14,4776,2944289.00,0.81,0.00,0.00,0.10
2022-04-01 09:47,6.17,6.17,6.18,6.16,3553,2190764.00,0.32,-0.16,-0.01,0.08
2022-04-01 09:48,6.17,6.19,6.20,6.17,3041,1881322.00,0.49,0.32,0.02,0.06
2022-04-01 09:49,6.17,6.17,6.17,6.15,3870,2385023.00,0.32,-0.32,-0.02,0.08
2022-04-01 09:50,6.18,6.14,6.18,6.13,4860,2990580.00,0.81,-0.49,-0.03,0.10
2022-04-01 09:51,6.15,6.14,6.17,6.12,5047,3103404.00,0.81,0.00,0.00,0.11
2022-04-01 09:52,6.14,6.15,6.16,6.12,3295,2024391.00,0.65,0.16,0.01,0.07
2022-04-01 09:53,6.16,6.12,6.16,6.10,6438,3944784.00,0.98,-0.49,-0.03,0.14
2022-04-01 09:54,6.11,6.15,6.15,6.10,5026,3079088.00,0.82,0.49,0.03,0.11
2022-04-01 09:55,6.15,6.17,6.18,6.14,2664,1641473.00,0.65,0.33,0.02,0.06
2022-04-01 09:56,6.17,6.18,6.18,6.16,1767,1089836.00,0.32,0.16,0.01,0.04
2022-04-01 09:57,6.18,6.16,6.18,6.14,2002,1232754.00,0.65,-0.32,-0.02,0.04
2022-04-01 09:58,6.17,6.18,6.18,6.17,2019,1246665.00,0.16,0.32,0.02,0.04
2022-04-01 09:59,6.18,6.21,6.21,6.18,2375,1471275.00,0.49,0.49,0.03,0.05
2022-04-01 10:00,6.20,6.20,6.21,6.19,2491,1543207.00,0.32,-0.16,-0.01,0.05
2022-04-01 10:01,6.20,6.18,6.20,6.18,1197,740820.00,0.32,-0.32,-0.02,0.03
2022-04-01 10:02,6.17,6.17,6.17,6.16,1268,782111.00,0.16,-0.16,-0.01,0.03
2022-04-01 10:03,6.17,6.18,6.18,6.16,1920,1183081.00,0.32,0.16,0.01,0.04
2022-04-01 10:04,6.16,6.17,6.19,6.16,3676,2269901.00,0.49,-0.16,-0.01,0.08
2022-04-01 10:05,6.15,6.16,6.17,6.15,1037,638085.00,0.32,-0.16,-0.01,0.02
2022-04-01 10:06,6.15,6.15,6.16,6.14,745,457888.00,0.32,-0.16,-0.01,0.02
2022-04-01 10:07,6.15,6.16,6.17,6.14,621,382375.00,0.49,0.16,0.01,0.01
2022-04-01 10:08,6.16,6.13,6.17,6.13,1429,877333.00,0.65,-0.49,-0.03,0.03
2022-04-01 10:09,6.14,6.11,6.14,6.11,1579,967490.00,0.49,-0.33,-0.02,0.03
2022-04-01 10:10,6.11,6.13,6.15,6.11,1827,1119867.00,0.65,0.33,0.02,0.04
2022-04-01 10:11,6.14,6.13,6.14,6.12,2088,1280271.00,0.33,0.00,0.00,0.04
2022-04-01 10:12,6.13,6.13,6.13,6.12,1346,824315.00,0.16,0.00,0.00,0.03
2022-04-01 10:13,6.13,6.13,6.14,6.13,1774,1088171.00,0.16,0.00,0.00,0.04
2022-04-01 10:14,6.13,6.11,6.13,6.11,845,517328.00,0.33,-0.33,-0.02,0.02
2022-04-01 10:15,6.11,6.11,6.12,6.10,2139,1307237.00,0.33,0.00,0.00,0.05
2022-04-01 10:16,6.11,6.10,6.11,6.09,4528,2762116.00,0.33,-0.16,-0.01,0.10
2022-04-01 10:17,6.10,6.08,6.11,6.07,3087,1880172.00,0.66,-0.33,-0.02,0.07
2022-04-01 10:18,6.07,6.10,6.10,6.07,3387,2063476.00,0.49,0.33,0.02,0.07
2022-04-01 10:19,6.09,6.10,6.10,6.08,971,591545.00,0.33,0.00,0.00,0.02
2022-04-01 10:20,6.10,6.10,6.11,6.10,1406,858279.00,0.16,0.00,0.00,0.03
2022-04-01 10:21,6.09,6.09,6.10,6.07,2154,1310521.00,0.49,-0.16,-0.01,0.05
2022-04-01 10:22,6.10,6.08,6.10,6.08,2247,1367842.00,0.33,-0.16,-0.01,0.05
2022-04-01 10:23,6.08,6.10,6.10,6.07,1504,916052.00,0.49,0.33,0.02,0.03
2022-04-01 10:24,6.10,6.10,6.12,6.10,1657,1012340.00,0.33,0.00,0.00,0.04
2022-04-01 10:25,6.10,6.09,6.10,6.09,1446,881291.00,0.16,-0.16,-0.01,0.03
2022-04-01 10:26,6.09,6.10,6.10,6.09,605,368797.00,0.16,0.16,0.01,0.01
2022-04-01 10:27,6.10,6.10,6.10,6.09,454,276695.00,0.16,0.00,0.00,0.01
2022-04-01 10:28,6.10,6.08,6.10,6.08,1910,1162052.00,0.33,-0.33,-0.02,0.04
2022-04-01 10:29,6.08,6.08,6.09,6.08,224,136200.00,0.16,0.00,0.00,0.00
2022-04-01 10:30,6.08,6.08,6.09,6.08,915,556518.00,0.16,0.00,0.00,0.02
2022-04-01 10:31,6.08,6.07,6.09,6.07,2215,1345518.00,0.33,-0.16,-0.01,0.05
2022-04-01 10:32,6.06,6.08,6.08,6.05,2549,1544540.00,0.49,0.16,0.01,0.05
2022-04-01 10:33,6.08,6.07,6.08,6.06,997,604945.00,0.33,-0.16,-0.01,0.02
2022-04-01 10:34,6.07,6.08,6.09,6.06,1422,863692.00,0.49,0.16,0.01,0.03
2022-04-01 10:35,6.08,6.06,6.09,6.06,1607,975871.00,0.49,-0.33,-0.02,0.03
2022-04-01 10:36,6.06,6.08,6.08,6.06,946,574392.00,0.33,0.33,0.02,0.02
2022-04-01 10:37,6.08,6.08,6.09,6.08,427,259696.00,0.16,0.00,0.00,0.01
2022-04-01 10:38,6.08,6.07,6.09,6.07,390,237240.00,0.33,-0.16,-0.01,0.01
2022-04-01 10:39,6.07,6.05,6.08,6.05,1796,1088302.00,0.49,-0.33,-0.02,0.04
2022-04-01 10:40,6.05,6.03,6.05,6.01,3048,1837190.00,0.66,-0.33,-0.02,0.06
2022-04-01 10:41,6.04,6.05,6.05,6.03,1128,681004.00,0.33,0.33,0.02,0.02
2022-04-01 10:42,6.05,6.06,6.07,6.05,580,351126.00,0.33,0.17,0.01,0.01
2022-04-01 10:43,6.07,6.04,6.07,6.03,1340,810323.00,0.66,-0.33,-0.02,0.03
2022-04-01 10:44,6.04,6.04,6.06,6.04,502,303614.00,0.33,0.00,0.00,0.01
2022-04-01 10:45,6.04,6.04,6.05,6.04,247,149307.00,0.17,0.00,0.00,0.01
2022-04-01 10:46,6.04,6.01,6.04,6.01,1981,1193421.00,0.50,-0.50,-0.03,0.04
2022-04-01 10:47,6.00,6.02,6.03,6.00,3517,2111743.00,0.50,0.17,0.01,0.07
2022-04-01 10:48,6.02,6.01,6.02,6.01,1388,834860.00,0.17,-0.17,-0.01,0.03
2022-04-01 10:49,6.02,6.04,6.04,6.02,1749,1053292.00,0.33,0.50,0.03,0.04
2022-04-01 10:50,6.04,6.01,6.05,6.01,2097,1263824.00,0.66,-0.50,-0.03,0.04
2022-04-01 10:51,6.01,6.02,6.03,6.01,798,480306.00,0.33,0.17,0.01,0.02
2022-04-01 10:52,6.02,6.03,6.04,6.02,723,435988.00,0.33,0.17,0.01,0.02
2022-04-01 10:53,6.03,6.04,6.05,6.03,1064,642259.00,0.33,0.17,0.01,0.02
2022-04-01 10:54,6.04,6.08,6.08,6.04,2442,1479680.00,0.66,0.66,0.04,0.05
2022-04-01 10:55,6.08,6.07,6.09,6.06,2230,1354749.00,0.49,-0.16,-0.01,0.05
2022-04-01 10:56,6.07,6.07,6.08,6.07,457,277555.00,0.16,0.00,0.00,0.01
2022-04-01 10:57,6.07,6.04,6.07,6.04,1477,894317.00,0.49,-0.49,-0.03,0.03
2022-04-01 10:58,6.04,6.07,6.07,6.04,379,229699.00,0.50,0.50,0.03,0.01
2022-04-01 10:59,6.07,6.05,6.07,6.05,388,235103.00,0.33,-0.33,-0.02,0.01
2022-04-01 11:00,6.05,6.04,6.06,6.04,1026,620623.00,0.33,-0.17,-0.01,0.02
2022-04-01 11:01,6.04,6.06,6.06,6.04,258,156202.00,0.33,0.33,0.02,0.01
2022-04-01 11:02,6.06,6.04,6.06,6.04,269,162821.00,0.33,-0.33,-0.02,0.01
2022-04-01 11:03,6.04,6.04,6.05,6.03,468,282727.00,0.33,0.00,0.00,0.01
2022-04-01 11:04,6.03,6.02,6.04,6.01,574,345701.00,0.50,-0.33,-0.02,0.01
2022-04-01 11:05,6.02,6.02,6.03,6.02,287,172971.00,0.17,0.00,0.00,0.01
2022-04-01 11:06,6.02,6.01,6.02,6.01,735,441886.00,0.17,-0.17,-0.01,0.02
2022-04-01 11:07,6.00,5.97,6.01,5.96,4813,2882306.00,0.83,-0.67,-0.04,0.10
2022-04-01 11:08,5.97,5.98,5.99,5.97,1391,831066.00,0.34,0.17,0.01,0.03
2022-04-01 11:09,5.98,5.98,5.99,5.97,1597,955087.00,0.33,0.00,0.00,0.03
2022-04-01 11:10,5.98,5.98,6.00,5.98,1086,650072.00,0.33,0.00,0.00,0.02
2022-04-01 11:11,5.98,5.98,5.99,5.97,724,433027.00,0.33,0.00,0.00,0.02
2022-04-01 11:12,5.99,6.00,6.01,5.99,1010,605418.00,0.33,0.33,0.02,0.02
2022-04-01 11:13,5.99,6.00,6.00,5.98,566,338988.00,0.33,0.00,0.00,0.01
2022-04-01 11:14,6.00,5.98,6.00,5.98,644,385640.00,0.33,-0.33,-0.02,0.01
2022-04-01 11:15,5.99,6.00,6.00,5.99,169,101281.00,0.17,0.33,0.02,0.00
2022-04-01 11:16,5.99,5.98,6.00,5.98,850,508947.00,0.33,-0.33,-0.02,0.02
2022-04-01 11:17,5.99,5.99,5.99,5.99,398,238359.00,0.00,0.17,0.01,0.01
2022-04-01 11:18,5.99,5.99,5.99,5.98,728,435717.00,0.17,0.00,0.00,0.02
2022-04-01 11:19,5.99,5.98,5.99,5.98,514,307617.00,0.17,-0.17,-0.01,0.01
2022-04-01 11:20,5.98,5.99,5.99,5.98,754,451121.00,0.17,0.17,0.01,0.02
2022-04-01 11:21,5.98,5.99,5.99,5.98,197,117896.00,0.17,0.00,0.00,0.00
2022-04-01 11:22,5.99,5.98,5.99,5.98,204,122170.00,0.17,-0.17,-0.01,0.00
2022-04-01 11:23,5.98,5.97,5.98,5.97,1462,873326.00,0.17,-0.17,-0.01,0.03
2022-04-01 11:24,5.97,5.97,5.98,5.96,1237,738122.00,0.34,0.00,0.00,0.03
2022-04-01 11:25,5.97,5.96,5.97,5.96,790,471468.00,0.17,-0.17,-0.01,0.02
2022-04-01 11:26,5.96,5.97,5.97,5.96,433,258448.00,0.17,0.17,0.01,0.01
2022-04-01 11:27,5.97,5.98,5.98,5.97,281,167839.00,0.17,0.17,0.01,0.01
2022-04-01 11:28,5.98,5.97,5.98,5.96,768,458510.00,0.33,-0.17,-0.01,0.02
2022-04-01 11:29,5.97,5.96,5.98,5.96,697,416140.00,0.34,-0.17,-0.01,0.01
