时间,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-04-01 09:31,3.38,3.36,3.39,3.35,4184,1412674.00,1.18,-0.59,-0.02,0.02
2022-04-01 09:32,3.36,3.36,3.36,3.35,2332,783196.00,0.30,0.00,0.00,0.01
2022-04-01 09:33,3.36,3.35,3.36,3.35,2753,922996.00,0.30,-0.30,-0.01,0.01
2022-04-01 09:34,3.35,3.34,3.35,3.33,3454,1155268.00,0.60,-0.30,-0.01,0.02
2022-04-01 09:35,3.34,3.35,3.35,3.34,666,222821.00,0.30,0.30,0.01,0.00
2022-04-01 09:36,3.35,3.36,3.36,3.35,342,114792.00,0.30,0.30,0.01,0.00
2022-04-01 09:37,3.35,3.37,3.37,3.35,2101,706524.00,0.60,0.30,0.01,0.01
2022-04-01 09:38,3.37,3.36,3.38,3.36,1632,549413.00,0.59,-0.30,-0.01,0.01
2022-04-01 09:39,3.36,3.37,3.37,3.36,93,31260.00,0.30,0.30,0.01,0.00
2022-04-01 09:40,3.37,3.36,3.37,3.36,502,168991.00,0.30,-0.30,-0.01,0.00
2022-04-01 09:41,3.36,3.37,3.37,3.36,958,322697.00,0.30,0.30,0.01,0.01
2022-04-01 09:42,3.37,3.37,3.38,3.37,958,323046.00,0.30,0.00,0.00,0.01
2022-04-01 09:43,3.36,3.36,3.37,3.36,578,194363.00,0.30,-0.30,-0.01,0.00
2022-04-01 09:44,3.37,3.37,3.37,3.37,77,25949.00,0.00,0.30,0.01,0.00
2022-04-01 09:45,3.36,3.37,3.37,3.36,420,141592.00,0.30,0.00,0.00,0.00
2022-04-01 09:46,3.37,3.37,3.37,3.37,198,66742.00,0.00,0.00,0.00,0.00
2022-04-01 09:47,3.37,3.36,3.37,3.36,247,83127.00,0.30,-0.30,-0.01,0.00
2022-04-01 09:48,3.36,3.37,3.37,3.36,877,294678.00,0.30,0.30,0.01,0.00
2022-04-01 09:49,3.36,3.35,3.37,3.35,599,200875.00,0.59,-0.59,-0.02,0.00
2022-04-01 09:50,3.35,3.35,3.36,3.35,119,39867.00,0.30,0.00,0.00,0.00
2022-04-01 09:51,3.35,3.36,3.36,3.35,1596,535112.00,0.30,0.30,0.01,0.01
2022-04-01 09:52,3.36,3.35,3.36,3.35,349,116915.00,0.30,-0.30,-0.01,0.00
2022-04-01 09:53,3.35,3.34,3.35,3.34,465,155310.00,0.30,-0.30,-0.01,0.00
2022-04-01 09:54,3.34,3.34,3.35,3.34,405,135272.00,0.30,0.00,0.00,0.00
2022-04-01 09:55,3.34,3.34,3.35,3.34,4237,1415249.00,0.30,0.00,0.00,0.02
2022-04-01 09:56,3.34,3.35,3.35,3.34,1172,391524.00,0.30,0.30,0.01,0.01
2022-04-01 09:57,3.35,3.34,3.35,3.34,65,21710.00,0.30,-0.30,-0.01,0.00
2022-04-01 09:58,3.35,3.35,3.35,3.34,172,57599.00,0.30,0.30,0.01,0.00
2022-04-01 09:59,3.35,3.35,3.35,3.34,409,136981.00,0.30,0.00,0.00,0.00
2022-04-01 10:00,3.35,3.34,3.35,3.34,483,161326.00,0.30,-0.30,-0.01,0.00
2022-04-01 10:01,3.35,3.36,3.36,3.34,1746,584648.00,0.60,0.60,0.02,0.01
2022-04-01 10:02,3.36,3.35,3.36,3.35,435,146036.00,0.30,-0.30,-0.01,0.00
2022-04-01 10:03,3.35,3.36,3.36,3.35,1089,365942.00,0.30,0.30,0.01,0.01
2022-04-01 10:04,3.36,3.36,3.36,3.36,771,259056.00,0.00,0.00,0.00,0.00
2022-04-01 10:05,3.35,3.36,3.36,3.35,69,23172.00,0.30,0.00,0.00,0.00
2022-04-01 10:06,3.36,3.35,3.36,3.35,156,52292.00,0.30,-0.30,-0.01,0.00
2022-04-01 10:07,3.35,3.35,3.35,3.35,357,119599.00,0.00,0.00,0.00,0.00
2022-04-01 10:08,3.35,3.35,3.36,3.35,99,33168.00,0.30,0.00,0.00,0.00
2022-04-01 10:09,3.35,3.36,3.36,3.35,407,136393.00,0.30,0.30,0.01,0.00
2022-04-01 10:10,3.36,3.37,3.37,3.36,4204,1413667.00,0.30,0.30,0.01,0.02
2022-04-01 10:11,3.37,3.37,3.37,3.37,256,86296.00,0.00,0.00,0.00,0.00
2022-04-01 10:12,3.38,3.38,3.38,3.37,502,169669.00,0.30,0.30,0.01,0.00
2022-04-01 10:13,3.38,3.38,3.38,3.37,1027,347127.00,0.30,0.00,0.00,0.01
2022-04-01 10:14,3.38,3.38,3.38,3.38,699,236759.00,0.00,0.00,0.00,0.00
2022-04-01 10:15,3.38,3.38,3.38,3.38,1335,451230.00,0.00,0.00,0.00,0.01
2022-04-01 10:16,3.38,3.38,3.38,3.38,1532,517002.00,0.00,0.00,0.00,0.01
2022-04-01 10:17,3.38,3.38,3.38,3.37,21,7084.00,0.30,0.00,0.00,0.00
2022-04-01 10:18,3.38,3.38,3.38,3.37,1657,559716.00,0.30,0.00,0.00,0.01
2022-04-01 10:19,3.38,3.38,3.38,3.38,520,175760.00,0.00,0.00,0.00,0.00
2022-04-01 10:20,3.38,3.39,3.39,3.38,374,126416.00,0.30,0.30,0.01,0.00
2022-04-01 10:21,3.39,3.37,3.39,3.37,1570,529164.00,0.59,-0.59,-0.02,0.01
2022-04-01 10:22,3.37,3.37,3.38,3.37,355,119694.00,0.30,0.00,0.00,0.00
2022-04-01 10:23,3.37,3.38,3.38,3.37,228,76847.00,0.30,0.30,0.01,0.00
2022-04-01 10:24,3.38,3.36,3.38,3.36,718,241781.00,0.59,-0.59,-0.02,0.00
2022-04-01 10:25,3.36,3.37,3.37,3.36,208,69926.00,0.30,0.30,0.01,0.00
2022-04-01 10:26,3.37,3.37,3.37,3.36,25,8401.00,0.30,0.00,0.00,0.00
2022-04-01 10:27,3.37,3.36,3.37,3.36,780,262096.00,0.30,-0.30,-0.01,0.00
2022-04-01 10:28,3.36,3.35,3.36,3.35,478,160439.00,0.30,-0.30,-0.01,0.00
2022-04-01 10:29,3.35,3.35,3.35,3.35,240,80400.00,0.00,0.00,0.00,0.00
2022-04-01 10:30,3.35,3.35,3.36,3.35,114,38199.00,0.30,0.00,0.00,0.00
2022-04-01 10:31,3.35,3.35,3.36,3.35,100,33505.00,0.30,0.00,0.00,0.00
2022-04-01 10:32,3.35,3.35,3.36,3.35,55,18432.00,0.30,0.00,0.00,0.00
2022-04-01 10:33,3.35,3.36,3.36,3.35,154,51691.00,0.30,0.30,0.01,0.00
2022-04-01 10:34,3.36,3.35,3.36,3.35,707,236845.00,0.30,-0.30,-0.01,0.00
2022-04-01 10:35,3.35,3.35,3.36,3.35,1657,554998.00,0.30,0.00,0.00,0.01
2022-04-01 10:36,3.35,3.35,3.35,3.35,46,15410.00,0.00,0.00,0.00,0.00
2022-04-01 10:37,3.35,3.35,3.35,3.34,62,20765.00,0.30,0.00,0.00,0.00
2022-04-01 10:38,3.35,3.34,3.35,3.34,186,62141.00,0.30,-0.30,-0.01,0.00
2022-04-01 10:39,3.34,3.34,3.35,3.34,132,44139.00,0.30,0.00,0.00,0.00
2022-04-01 10:40,3.34,3.35,3.35,3.34,1423,476705.00,0.30,0.30,0.01,0.01
2022-04-01 10:41,3.35,3.34,3.35,3.34,239,79893.00,0.30,-0.30,-0.01,0.00
2022-04-01 10:42,3.34,3.36,3.36,3.34,2510,840862.00,0.60,0.60,0.02,0.01
2022-04-01 10:43,3.36,3.36,3.36,3.35,671,225253.00,0.30,0.00,0.00,0.00
2022-04-01 10:44,3.36,3.36,3.36,3.35,384,128722.00,0.30,0.00,0.00,0.00
2022-04-01 10:45,3.36,3.35,3.36,3.35,75,25172.00,0.30,-0.30,-0.01,0.00
2022-04-01 10:46,3.35,3.36,3.36,3.35,289,97036.00,0.30,0.30,0.01,0.00
2022-04-01 10:47,3.36,3.35,3.36,3.35,1137,380895.00,0.30,-0.30,-0.01,0.01
2022-04-01 10:48,3.35,3.35,3.36,3.35,140,46905.00,0.30,0.00,0.00,0.00
2022-04-01 10:49,3.35,3.36,3.36,3.35,1586,532896.00,0.30,0.30,0.01,0.01
2022-04-01 10:50,3.36,3.36,3.36,3.36,912,306432.00,0.00,0.00,0.00,0.00
2022-04-01 10:51,3.36,3.36,3.36,3.36,1236,415396.00,0.00,0.00,0.00,0.01
