时间,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-04-01 09:31,9.72,9.74,9.78,9.70,953,927671.00,0.82,-0.41,-0.04,0.06
2022-04-01 09:32,9.73,9.70,9.73,9.67,1515,1470906.00,0.62,-0.41,-0.04,0.10
2022-04-01 09:33,9.69,9.65,9.70,9.65,712,688790.00,0.52,-0.52,-0.05,0.04
2022-04-01 09:34,9.65,9.59,9.65,9.56,1548,1489649.00,0.93,-0.62,-0.06,0.10
2022-04-01 09:35,9.58,9.69,9.70,9.57,846,816995.00,1.36,1.04,0.10,0.05
2022-04-01 09:36,9.66,9.68,9.68,9.65,1411,1363071.00,0.31,-0.10,-0.01,0.09
2022-04-01 09:37,9.70,9.71,9.72,9.68,282,273285.00,0.41,0.31,0.03,0.02
2022-04-01 09:38,9.71,9.69,9.71,9.68,221,214372.00,0.31,-0.21,-0.02,0.01
2022-04-01 09:39,9.69,9.71,9.71,9.69,249,241482.00,0.21,0.21,0.02,0.02
2022-04-01 09:40,9.70,9.67,9.72,9.67,477,462230.00,0.51,-0.41,-0.04,0.03
2022-04-01 09:41,9.68,9.67,9.69,9.67,819,792221.00,0.21,0.00,0.00,0.05
2022-04-01 09:42,9.68,9.69,9.70,9.67,340,329051.00,0.31,0.21,0.02,0.02
2022-04-01 09:43,9.69,9.65,9.69,9.65,334,322801.00,0.41,-0.41,-0.04,0.02
2022-04-01 09:44,9.66,9.64,9.67,9.64,370,357301.00,0.31,-0.10,-0.01,0.02
2022-04-01 09:45,9.64,9.62,9.65,9.61,652,627478.00,0.41,-0.21,-0.02,0.04
2022-04-01 09:46,9.62,9.64,9.65,9.61,625,601915.00,0.42,0.21,0.02,0.04
2022-04-01 09:47,9.65,9.66,9.66,9.63,608,586331.00,0.31,0.21,0.02,0.04
2022-04-01 09:48,9.67,9.67,9.67,9.65,288,278265.00,0.21,0.10,0.01,0.02
2022-04-01 09:49,9.67,9.69,9.69,9.65,218,210787.00,0.41,0.21,0.02,0.01
2022-04-01 09:50,9.69,9.67,9.69,9.67,81,78443.00,0.21,-0.21,-0.02,0.01
2022-04-01 09:51,9.67,9.68,9.68,9.66,209,202120.00,0.21,0.10,0.01,0.01
2022-04-01 09:52,9.68,9.68,9.68,9.67,128,123806.00,0.10,0.00,0.00,0.01
2022-04-01 09:53,9.68,9.67,9.68,9.66,155,149854.00,0.21,-0.10,-0.01,0.01
2022-04-01 09:54,9.66,9.64,9.68,9.64,417,402525.00,0.41,-0.31,-0.03,0.03
2022-04-01 09:55,9.66,9.66,9.66,9.64,358,345246.00,0.21,0.21,0.02,0.02
2022-04-01 09:56,9.63,9.67,9.67,9.63,245,236356.00,0.41,0.10,0.01,0.02
2022-04-01 09:57,9.68,9.68,9.69,9.68,291,281705.00,0.10,0.10,0.01,0.02
2022-04-01 09:58,9.69,9.68,9.69,9.68,105,101695.00,0.10,0.00,0.00,0.01
2022-04-01 09:59,9.68,9.70,9.70,9.68,242,234628.00,0.21,0.21,0.02,0.02
2022-04-01 10:00,9.70,9.70,9.71,9.70,70,67926.00,0.10,0.00,0.00,0.00
2022-04-01 10:01,9.71,9.70,9.72,9.70,338,328003.00,0.21,0.00,0.00,0.02
2022-04-01 10:02,9.70,9.73,9.73,9.70,209,203222.00,0.31,0.31,0.03,0.01
2022-04-01 10:03,9.72,9.73,9.73,9.72,271,263566.00,0.10,0.00,0.00,0.02
2022-04-01 10:04,9.73,9.72,9.73,9.72,34,33051.00,0.10,-0.10,-0.01,0.00
2022-04-01 10:05,9.71,9.70,9.71,9.70,27,26197.00,0.10,-0.21,-0.02,0.00
2022-04-01 10:06,9.70,9.69,9.70,9.69,136,131826.00,0.10,-0.10,-0.01,0.01
2022-04-01 10:07,9.69,9.71,9.72,9.69,149,144582.00,0.31,0.21,0.02,0.01
2022-04-01 10:08,9.71,9.71,9.71,9.70,96,93148.00,0.10,0.00,0.00,0.01
2022-04-01 10:09,9.71,9.72,9.72,9.70,77,74812.00,0.21,0.10,0.01,0.00
2022-04-01 10:10,9.72,9.73,9.73,9.72,226,219872.00,0.10,0.10,0.01,0.01
2022-04-01 10:11,9.73,9.71,9.73,9.71,72,70036.00,0.21,-0.21,-0.02,0.00
2022-04-01 10:12,9.71,9.70,9.72,9.70,118,114501.00,0.21,-0.10,-0.01,0.01
2022-04-01 10:13,9.69,9.70,9.71,9.67,277,268433.00,0.41,0.00,0.00,0.02
2022-04-01 10:14,9.70,9.69,9.70,9.67,178,172230.00,0.31,-0.10,-0.01,0.01
2022-04-01 10:15,9.69,9.69,9.69,9.69,65,62923.00,0.00,0.00,0.00,0.00
2022-04-01 10:16,9.69,9.68,9.69,9.68,75,72629.00,0.10,-0.10,-0.01,0.00
2022-04-01 10:17,9.68,9.68,9.69,9.68,249,241068.00,0.10,0.00,0.00,0.02
2022-04-01 10:18,9.68,9.69,9.69,9.67,832,804935.00,0.21,0.10,0.01,0.05
2022-04-01 10:19,9.69,9.71,9.71,9.67,273,264782.00,0.41,0.21,0.02,0.02
2022-04-01 10:20,9.71,9.73,9.73,9.70,278,270309.00,0.31,0.21,0.02,0.02
2022-04-01 10:21,9.73,9.72,9.73,9.70,124,120506.00,0.31,-0.10,-0.01,0.01
2022-04-01 10:22,9.72,9.70,9.72,9.70,218,211574.00,0.21,-0.21,-0.02,0.01
2022-04-01 10:23,9.70,9.70,9.71,9.70,63,61120.00,0.10,0.00,0.00,0.00
2022-04-01 10:24,9.70,9.70,9.70,9.70,79,76630.00,0.00,0.00,0.00,0.00
2022-04-01 10:25,9.70,9.68,9.70,9.67,322,311755.00,0.31,-0.21,-0.02,0.02
2022-04-01 10:26,9.68,9.67,9.68,9.66,595,575018.00,0.21,-0.10,-0.01,0.04
2022-04-01 10:27,9.67,9.64,9.67,9.64,324,312605.00,0.31,-0.31,-0.03,0.02
2022-04-01 10:28,9.65,9.63,9.65,9.63,198,190913.00,0.21,-0.10,-0.01,0.01
2022-04-01 10:29,9.63,9.63,9.64,9.63,251,241796.00,0.10,0.00,0.00,0.02
2022-04-01 10:30,9.66,9.65,9.66,9.65,138,133176.00,0.10,0.21,0.02,0.01
2022-04-01 10:31,9.65,9.65,9.66,9.65,217,209413.00,0.10,0.00,0.00,0.01
2022-04-01 10:32,9.65,9.64,9.65,9.64,286,275789.00,0.10,-0.10,-0.01,0.02
2022-04-01 10:33,9.63,9.65,9.65,9.62,388,373659.00,0.31,0.10,0.01,0.02
2022-04-01 10:34,9.63,9.60,9.63,9.60,859,825408.00,0.31,-0.52,-0.05,0.05
2022-04-01 10:35,9.59,9.60,9.62,9.59,413,396392.00,0.31,0.00,0.00,0.03
2022-04-01 10:36,9.60,9.60,9.61,9.59,688,660287.00,0.21,0.00,0.00,0.04
2022-04-01 10:37,9.60,9.59,9.61,9.59,656,629600.00,0.21,-0.10,-0.01,0.04
2022-04-01 10:38,9.59,9.59,9.59,9.58,734,703389.00,0.10,0.00,0.00,0.05
2022-04-01 10:39,9.58,9.59,9.59,9.58,369,353743.00,0.10,0.00,0.00,0.02
2022-04-01 10:40,9.59,9.58,9.60,9.57,517,495366.00,0.31,-0.10,-0.01,0.03
2022-04-01 10:41,9.57,9.58,9.58,9.57,411,393584.00,0.10,0.00,0.00,0.03
2022-04-01 10:42,9.57,9.59,9.59,9.57,560,536493.00,0.21,0.10,0.01,0.04
2022-04-01 10:43,9.58,9.62,9.62,9.58,319,306198.00,0.42,0.31,0.03,0.02
2022-04-01 10:44,9.62,9.61,9.62,9.60,207,198898.00,0.21,-0.10,-0.01,0.01
2022-04-01 10:45,9.61,9.60,9.61,9.60,202,193930.00,0.10,-0.10,-0.01,0.01
2022-04-01 10:46,9.60,9.59,9.60,9.58,767,735408.00,0.21,-0.10,-0.01,0.05
2022-04-01 10:47,9.59,9.59,9.59,9.59,121,116039.00,0.00,0.00,0.00,0.01
2022-04-01 10:48,9.59,9.59,9.60,9.59,242,232151.00,0.10,0.00,0.00,0.02
2022-04-01 10:49,9.59,9.61,9.61,9.59,350,335996.00,0.21,0.21,0.02,0.02
2022-04-01 10:50,9.61,9.60,9.61,9.60,228,219053.00,0.10,-0.10,-0.01,0.01
2022-04-01 10:51,9.60,9.61,9.61,9.60,308,295818.00,0.10,0.10,0.01,0.02
2022-04-01 10:52,9.62,9.61,9.62,9.60,665,638550.00,0.21,0.00,0.00,0.04
2022-04-01 10:53,9.61,9.62,9.62,9.60,44,42276.00,0.21,0.10,0.01,0.00
2022-04-01 10:54,9.61,9.62,9.62,9.61,87,83691.00,0.10,0.00,0.00,0.01
2022-04-01 10:55,9.62,9.61,9.62,9.61,85,81724.00,0.10,-0.10,-0.01,0.01
2022-04-01 10:56,9.61,9.61,9.61,9.60,137,131676.00,0.10,0.00,0.00,0.01
2022-04-01 10:57,9.61,9.61,9.63,9.60,135,129839.00,0.31,0.00,0.00,0.01
2022-04-01 10:58,9.63,9.62,9.63,9.61,153,147202.00,0.21,0.10,0.01,0.01
2022-04-01 10:59,9.62,9.62,9.64,9.61,92,88584.00,0.31,0.00,0.00,0.01
2022-04-01 11:00,9.64,9.64,9.64,9.63,68,65466.00,0.10,0.21,0.02,0.00
2022-04-01 11:01,9.64,9.62,9.64,9.62,40,38537.00,0.21,-0.21,-0.02,0.00
2022-04-01 11:02,9.62,9.61,9.63,9.61,216,207712.00,0.21,-0.10,-0.01,0.01
2022-04-01 11:03,9.61,9.60,9.61,9.60,198,190252.00,0.10,-0.10,-0.01,0.01
2022-04-01 11:04,9.60,9.59,9.60,9.59,386,370501.00,0.10,-0.10,-0.01,0.02
