时间,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-04-06,2.94,2.99,3.01,2.93,25404,7583098.00,2.72,1.70,0.05,0.33
2021-04-07,2.98,3.00,3.04,2.96,48761,14653774.00,2.68,0.33,0.01,0.63
2021-04-08,3.00,2.99,3.01,2.98,30510,9132626.00,1.00,-0.33,-0.01,0.39
2021-04-09,3.00,3.03,3.06,2.98,52023,15737818.00,2.68,1.34,0.04,0.67
2021-04-12,3.03,3.03,3.06,3.00,38515,11661970.00,1.98,0.00,0.00,0.49
2021-04-13,3.03,2.94,3.03,2.91,57027,16916848.00,3.96,-2.97,-0.09,0.73
2021-04-14,2.94,2.99,2.99,2.93,36763,10880917.00,2.04,1.70,0.05,0.47
2021-04-15,3.00,2.93,3.00,2.90,60592,17787084.00,3.34,-2.01,-0.06,0.78
2021-04-16,2.93,3.00,3.01,2.91,65436,19380490.00,3.41,2.39,0.07,0.84
2021-04-19,3.00,3.02,3.06,2.99,56052,16971799.00,2.33,0.67,0.02,0.72
2021-04-20,3.01,3.03,3.12,3.01,77102,23502937.00,3.64,0.33,0.01,0.99
2021-04-21,3.02,3.14,3.16,3.01,103818,32142420.00,4.95,3.63,0.11,1.33
2021-04-22,3.15,3.15,3.25,3.12,96794,30782411.00,4.14,0.32,0.01,1.24
2021-04-23,3.15,3.19,3.21,3.13,80898,25702385.00,2.54,1.27,0.04,1.04
2021-04-26,3.19,3.30,3.31,3.19,93434,30448247.00,3.76,3.45,0.11,1.20
2021-04-27,3.28,3.14,3.31,3.14,111834,35471411.00,5.15,-4.85,-0.16,1.43
2021-04-28,3.17,3.11,3.17,3.09,120567,37672435.00,2.55,-0.96,-0.03,1.55
2021-04-29,3.11,3.23,3.27,3.10,154933,49824158.00,5.47,3.86,0.12,1.99
2021-04-30,3.22,3.19,3.27,3.11,107180,34290055.00,4.95,-1.24,-0.04,1.37
2021-05-06,3.21,3.32,3.35,3.19,116505,38420963.00,5.02,4.08,0.13,1.49
2021-05-07,3.31,3.32,3.36,3.28,86865,28708975.00,2.41,0.00,0.00,1.11
2021-05-10,3.33,3.43,3.45,3.32,111896,37982494.00,3.92,3.31,0.11,1.43
2021-05-11,3.45,3.51,3.60,3.38,228217,80251096.00,6.41,2.33,0.08,2.93
2021-05-12,3.57,3.69,3.69,3.50,215520,78217939.00,5.41,5.13,0.18,2.76
2021-05-13,3.79,3.87,3.87,3.76,84894,32568012.00,2.98,4.88,0.18,1.09
2021-05-17,3.98,3.71,4.26,3.68,683499,272060160.00,14.99,-4.13,-0.16,8.76
2021-05-18,3.63,4.08,4.08,3.52,535683,209627153.00,15.09,9.97,0.37,6.87
2021-05-19,4.13,3.94,4.37,3.90,662083,272393200.00,11.52,-3.43,-0.14,8.49
2021-05-20,3.80,3.81,4.00,3.72,384092,146760625.00,7.11,-3.30,-0.13,4.92
2021-05-21,3.89,4.19,4.19,3.86,668885,276175280.00,8.66,9.97,0.38,8.58
2021-05-24,4.03,3.90,4.16,3.89,547184,218429492.00,6.44,-6.92,-0.29,7.02
2021-05-25,3.90,3.82,3.93,3.64,450232,169449765.00,7.44,-2.05,-0.08,5.77
2021-05-26,3.83,3.81,3.84,3.71,252551,95066713.00,3.40,-0.26,-0.01,3.24
2021-05-27,3.81,3.75,3.83,3.70,244326,91291659.00,3.41,-1.57,-0.06,3.13
2021-05-28,3.76,3.78,3.88,3.70,259846,98065888.00,4.80,0.80,0.03,3.33
2021-05-31,3.79,3.74,3.79,3.60,286282,104934480.00,5.03,-1.06,-0.04,3.67
2021-06-01,3.71,3.84,3.98,3.70,364762,140376722.00,7.49,2.67,0.10,4.68
2021-06-02,3.80,3.67,3.82,3.66,233187,86767557.00,4.17,-4.43,-0.17,2.99
2021-06-03,3.65,3.70,3.86,3.57,228094,84335083.00,7.90,0.82,0.03,2.92
2021-06-04,3.69,3.58,3.70,3.56,195984,70727829.00,3.78,-3.24,-0.12,2.51
2021-06-07,3.58,3.60,3.64,3.45,143393,51173696.00,5.31,0.56,0.02,1.84
2021-06-08,3.63,3.52,3.64,3.51,129059,45874454.00,3.61,-2.22,-0.08,1.65
2021-06-09,3.53,3.50,3.58,3.45,133040,46598899.00,3.69,-0.57,-0.02,1.71
2021-06-10,3.50,3.43,3.50,3.42,126809,43778169.00,2.29,-2.00,-0.07,1.63
2021-06-11,3.44,3.45,3.50,3.42,102499,35530549.00,2.33,0.58,0.02,1.31
2021-06-15,3.44,3.40,3.46,3.34,123406,41904556.00,3.48,-1.45,-0.05,1.58
2021-06-16,3.43,3.38,3.45,3.36,75941,25808503.00,2.65,-0.59,-0.02,0.97
