时间,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-04-01 09:31,9.83,9.80,9.86,9.80,557,547035.00,0.61,-1.01,-0.10,0.02
2022-04-01 09:32,9.79,9.82,9.82,9.79,159,155766.00,0.31,0.20,0.02,0.01
2022-04-01 09:33,9.82,9.81,9.82,9.80,334,327614.00,0.20,-0.10,-0.01,0.01
2022-04-01 09:34,9.81,9.77,9.82,9.77,417,408409.00,0.51,-0.41,-0.04,0.02
2022-04-01 09:35,9.77,9.84,9.84,9.77,280,274212.00,0.72,0.72,0.07,0.01
2022-04-01 09:36,9.81,9.83,9.83,9.81,99,97280.00,0.20,-0.10,-0.01,0.00
2022-04-01 09:37,9.83,9.83,9.84,9.83,280,275239.00,0.10,0.00,0.00,0.01
2022-04-01 09:38,9.81,9.82,9.84,9.81,258,253364.00,0.31,-0.10,-0.01,0.01
2022-04-01 09:39,9.82,9.80,9.82,9.80,231,226432.00,0.20,-0.20,-0.02,0.01
2022-04-01 09:40,9.80,9.80,9.81,9.79,295,289169.00,0.20,0.00,0.00,0.01
2022-04-01 09:41,9.80,9.79,9.80,9.78,342,334738.00,0.20,-0.10,-0.01,0.02
2022-04-01 09:42,9.80,9.81,9.82,9.80,706,692166.00,0.20,0.20,0.02,0.03
2022-04-01 09:43,9.81,9.81,9.83,9.80,128,125607.00,0.31,0.00,0.00,0.01
2022-04-01 09:44,9.81,9.81,9.81,9.80,87,85336.00,0.10,0.00,0.00,0.00
2022-04-01 09:45,9.81,9.81,9.82,9.81,90,88356.00,0.10,0.00,0.00,0.00
2022-04-01 09:46,9.82,9.81,9.82,9.81,160,157025.00,0.10,0.00,0.00,0.01
2022-04-01 09:47,9.81,9.81,9.81,9.79,229,224432.00,0.20,0.00,0.00,0.01
2022-04-01 09:48,9.81,9.80,9.81,9.80,35,34315.00,0.10,-0.10,-0.01,0.00
2022-04-01 09:49,9.80,9.82,9.83,9.80,130,127530.00,0.31,0.20,0.02,0.01
2022-04-01 09:50,9.82,9.82,9.82,9.80,84,82426.00,0.20,0.00,0.00,0.00
2022-04-01 09:51,9.82,9.81,9.82,9.81,72,70667.00,0.10,-0.10,-0.01,0.00
2022-04-01 09:52,9.81,9.82,9.83,9.81,51,50083.00,0.20,0.10,0.01,0.00
2022-04-01 09:53,9.82,9.80,9.82,9.79,175,171560.00,0.31,-0.20,-0.02,0.01
2022-04-01 09:54,9.79,9.77,9.79,9.77,430,420514.00,0.20,-0.31,-0.03,0.02
2022-04-01 09:55,9.77,9.78,9.78,9.76,156,152472.00,0.20,0.10,0.01,0.01
2022-04-01 09:56,9.78,9.80,9.80,9.78,90,88116.00,0.20,0.20,0.02,0.00
2022-04-01 09:57,9.80,9.82,9.82,9.79,64,62706.00,0.31,0.20,0.02,0.00
2022-04-01 09:58,9.82,9.82,9.83,9.80,49,48103.00,0.31,0.00,0.00,0.00
2022-04-01 09:59,9.82,9.83,9.83,9.81,120,117910.00,0.20,0.10,0.01,0.01
2022-04-01 10:00,9.83,9.83,9.83,9.83,30,29490.00,0.00,0.00,0.00,0.00
2022-04-01 10:01,9.83,9.83,9.83,9.81,70,68736.00,0.20,0.00,0.00,0.00
2022-04-01 10:02,9.83,9.84,9.84,9.83,11,10821.00,0.10,0.10,0.01,0.00
2022-04-01 10:03,9.82,9.83,9.83,9.81,75,73664.00,0.20,-0.10,-0.01,0.00
2022-04-01 10:04,9.83,9.80,9.83,9.80,37,36289.00,0.31,-0.31,-0.03,0.00
2022-04-01 10:05,9.80,9.81,9.81,9.80,130,127453.00,0.10,0.10,0.01,0.01
2022-04-01 10:06,9.80,9.80,9.80,9.80,165,161757.00,0.00,-0.10,-0.01,0.01
2022-04-01 10:07,9.80,9.80,9.80,9.80,21,20583.00,0.00,0.00,0.00,0.00
2022-04-01 10:08,9.80,9.80,9.81,9.80,313,306953.00,0.10,0.00,0.00,0.01
2022-04-01 10:09,9.80,9.81,9.81,9.79,92,90150.00,0.20,0.10,0.01,0.00
2022-04-01 10:10,9.81,9.81,9.83,9.81,21,20618.00,0.20,0.00,0.00,0.00
2022-04-01 10:11,9.81,9.81,9.81,9.80,156,152977.00,0.10,0.00,0.00,0.01
2022-04-01 10:12,9.81,9.80,9.81,9.80,200,196049.00,0.10,-0.10,-0.01,0.01
2022-04-01 10:13,9.80,9.80,9.81,9.80,147,143884.00,0.10,0.00,0.00,0.01
2022-04-01 10:14,9.80,9.80,9.80,9.80,111,108990.00,0.00,0.00,0.00,0.00
2022-04-01 10:15,9.80,9.79,9.80,9.79,121,118554.00,0.10,-0.10,-0.01,0.01
2022-04-01 10:16,9.79,9.79,9.80,9.79,140,137080.00,0.10,0.00,0.00,0.01
2022-04-01 10:17,9.79,9.79,9.79,9.79,153,149787.00,0.00,0.00,0.00,0.01
2022-04-01 10:18,9.79,9.79,9.79,9.78,189,184907.00,0.10,0.00,0.00,0.01
2022-04-01 10:19,9.79,9.79,9.80,9.79,131,128336.00,0.10,0.00,0.00,0.01
